Timestamp,Spotter,To_Station,Frequency_MHz
2026-03-28T22:51:07.966275+00:00,W7XE-11,PY2WB,28382.0
2026-03-28T22:51:16.508701+00:00,EA4EF,Z32TO,7087.4
2026-03-28T22:51:17.456604+00:00,K7AKT,NE1C,21415.0
2026-03-28T22:51:18.716105+00:00,PP5KP,W1RCR,28348.0
2026-03-28T22:51:21.054092+00:00,S53F,S56B,1887.0
2026-03-28T22:51:21.792817+00:00,N4XL,CR3A,14347.2
2026-03-28T22:51:25.195288+00:00,AC1MT,PU2VLW,28455.0
2026-03-28T22:51:26.628301+00:00,YU1RA,IP0A,7131.0
2026-03-28T22:51:27.907312+00:00,2I0WMN,C4E,14252.0
2026-03-28T22:51:28.489951+00:00,WJ1U-9,3G3W,21238.0
2026-03-28T22:51:29.074114+00:00,N0GJW,JH7LRS,21387.8
2026-03-28T22:51:32.970388+00:00,NE1C-7,KF5VDX,28324.0
2026-03-28T22:51:34.467314+00:00,N4CF,AA4V,7182.4
2026-03-28T22:51:37.149431+00:00,K8ND,PJ2T,28442.0
2026-03-28T22:51:39.803679+00:00,K7AKT,W1GD,21423.3
2026-03-28T22:51:40.739691+00:00,K3NRX,CY0S,21351.2
2026-03-28T22:51:44.105254+00:00,KL5NE,JI1PUC,21374.5
2026-03-28T22:51:48.055827+00:00,DG1HWM,DA0T,3690.3
2026-03-28T22:51:48.242425+00:00,DP9A,DA0T,3690.3
2026-03-28T22:51:48.670021+00:00,W7ZKI,K0SIX,21412.0
2026-03-28T22:51:54.762935+00:00,HB9DVH,TY5FR,14179.0
2026-03-28T22:51:54.942684+00:00,PZ5TW,PJ7AA,21345.5
2026-03-28T22:51:54.943687+00:00,KC2GOW,DU3LA,21318.4
2026-03-28T22:52:04.954992+00:00,NN4RB,CY0S,21350.9
2026-03-28T22:52:10.359554+00:00,DG1HWM,DA2X,3688.1
2026-03-28T22:52:10.544365+00:00,DP9A,DA2X,3688.1
2026-03-28T22:52:15.876979+00:00,BD4ITM,BG5BAA,7131.5
2026-03-28T22:52:22.801418+00:00,K6MTU,K5RX,28390.8
2026-03-28T22:52:24.709625+00:00,W7XE-11,PP5KP,28395.9
2026-03-28T22:52:27.435311+00:00,KC8QCT-31,CN3A,21295.0
2026-03-28T22:52:29.801127+00:00,KE6QEY,VP2M,21347.8
2026-03-28T22:52:31.958585+00:00,AC5XK-1,VE2AA,7214.0
2026-03-28T22:52:32.719138+00:00,K1AJT,ZF2KT,21323.0
2026-03-28T22:52:33.831663+00:00,RU1A,UA7K,1888.7
2026-03-28T22:52:34.015074+00:00,RM3DA,DP6A,7125.7
2026-03-28T22:52:34.015980+00:00,DU3T,NR7DX,21299.0
2026-03-28T22:52:37.650489+00:00,PY2PLL,W1CR,28533.0
2026-03-28T22:52:38.072363+00:00,K7AKT,WH7U,21429.0
2026-03-28T22:52:39.791205+00:00,PE1EWR,HG5A,7122.9
2026-03-28T22:52:47.936190+00:00,W4SSF,9A1RBZ,14233.0
2026-03-28T22:52:48.789767+00:00,DO2TL,DL1SLB,3747.0
2026-03-28T22:52:56.134354+00:00,N1RM,CN3A,21295.0
2026-03-28T22:52:59.974318+00:00,N4CF,OM8A,7173.5
2026-03-28T22:53:05.953006+00:00,DU3T,WZ8T,21302.6
2026-03-28T22:53:11.320577+00:00,DP5P,DA0BCC,14211.1
2026-03-28T22:53:12.779147+00:00,W0XM,PY5FO,28605.0
2026-03-28T22:53:12.966561+00:00,K0CN,HK1O,28559.8
2026-03-28T22:53:15.712798+00:00,DK1IP,PA6G,3618.0
2026-03-28T22:53:16.188389+00:00,S53F,CN3A,1897.0
2026-03-28T22:53:26.706822+00:00,FY5KE,TM1X,7154.7
2026-03-28T22:53:28.678269+00:00,EA5IGO,TI2OY,21304.0
2026-03-28T22:53:29.416900+00:00,W9KEY,PV2P,21292.0
2026-03-28T22:53:38.843456+00:00,KA5D,PJ7AA,21345.5
2026-03-28T22:53:39.026360+00:00,EA1FW,KB3WD,14306.9
2026-03-28T22:53:42.819982+00:00,K5PAR,NR7DX,21299.0
2026-03-28T22:53:43.732626+00:00,PY2PLL,KI5GTR,28530.5
2026-03-28T22:53:48.008154+00:00,RC7KY,WX3B,7132.5
2026-03-28T22:53:50.777471+00:00,KB3Z,VE2IAA,7213.9
2026-03-28T22:53:52.837543+00:00,RM3DA,S57O,7120.0
2026-03-28T22:53:55.019774+00:00,DK1IP,SP9XCN,3611.5
